bank	offset	size	sha1	entropy	zero_bytes	ff_bytes	ascii_printable_bytes	high_bytes
0x00	0x000000	16384	0a165d23a64e73b0c3625c665d83727c0a14abb8	6.77	1869	92	4821	6854
0x01	0x004000	16384	5bd048441cee7d72638feebcf044e5e619763881	5.454	5915	114	3853	3906
0x02	0x008000	16384	7fef8c2368b309be8d2d0b137082274c0ba01326	6.828	678	102	5850	7297
0x03	0x00C000	16384	9f2bdc4f34dd5a5d642d8f023c42827ed315d6a4	6.544	1491	50	5403	5642
0x04	0x010000	16384	1ed551a0c1dbdc1f823db547c0a68e51186b46e8	6.061	3302	22	5196	4682
0x05	0x014000	16384	381f28c0f977b3072fb9226a71cbed2c463ee033	6.666	962	179	6457	5937
0x06	0x018000	16384	1108628676cd77e259f8bce387f923bd0cb72715	6.264	2179	2524	2418	8891
0x07	0x01C000	16384	9e41f832aa60ea9f4b6533fb5ebbe8a958f361b8	7.142	2205	25	5084	5402
0x08	0x020000	16384	1f1933f573628f9722cd292975490f895781a196	6.454	2050	63	6197	5248
0x09	0x024000	16384	33102035a7e450dedfcf7a930ff3b778c86d92a5	6.113	3020	3	6259	4438
0x0A	0x028000	16384	d20b76e9062f0f533616592a773f2e250b6d3653	7.69	743	4	5705	6526
0x0B	0x02C000	16384	a4363df2f5c780e37901dd083d564fa3f95ee8d4	7.578	1433	22	5054	7052
0x0C	0x030000	16384	723b6fbe1f0d772a75e329b7e8d67a836bbd39ed	6.772	1161	107	6388	5859
0x0D	0x034000	16384	e400e97ea280c3528d1ac5771c0881919ac219cd	7.69	576	139	5369	6904
0x0E	0x038000	16384	aff4e5d57fd05d474885479b359634d86f05cee8	7.727	40	92	5335	8780
0x0F	0x03C000	16384	3dc2ab7cc7d84546176d9fd47c0e9843ed405139	7.916	36	132	5867	8764
0x10	0x040000	16384	896d1ba298abab8c95f264f28a2bc85068672235	7.918	32	125	5709	8888
0x11	0x044000	16384	d03e7a2419911c2b5125fcc842035f3a346ebfb8	7.887	270	109	5580	8853
0x12	0x048000	16384	e3af42021f86f2fa69e569336cd2e543f0333ce8	6.951	996	87	4486	7827
0x13	0x04C000	16384	76d41dbf3203c9bc2713fce979ec99ed79233be1	6.767	963	94	5679	6647
0x14	0x050000	16384	dc290d5e7ce2899cd3aa70f9612faa9e68a231e9	6.474	2000	96	5959	5479
0x15	0x054000	16384	55d373095a99b4cafa18cdd98c60d019f57590ab	6.668	1491	110	5933	5851
0x16	0x058000	16384	66942d4bf9729b264ca41925150186624ae60c4c	6.427	2708	206	5386	5320
0x17	0x05C000	16384	7868411132da02eefd9a4bd0d77102ac7255c314	6.28	3137	445	5435	5155
0x18	0x060000	16384	86358e837e39c1440b004aabd4957b398273b63c	6.567	2175	341	4750	5330
0x19	0x064000	16384	37c7766afd79ce2a9b6e4d46faf5f00c1cdc8fbd	6.595	3990	150	5069	4379
0x1A	0x068000	16384	9e2be78cc7eae511b89d318eb89b5782bf718196	6.602	1650	82	5891	5939
0x1B	0x06C000	16384	e28251d7dcfc77024998d7fdf5b8d514c08d15f8	6.261	2163	25	5567	5746
0x1C	0x070000	16384	d44eccde485985aedbe09747c02f3e4ba4e14e8f	6.505	811	275	4503	8477
0x1D	0x074000	16384	9cf2edc64f67acfb8da6658ffc13c6b317a5efc0	6.511	1666	415	4968	5988
0x1E	0x078000	16384	e1f1c0814b8ba0002904b6c06f0a50abb44d06d7	7.351	841	304	5136	7029
0x1F	0x07C000	16384	4eb05d2cbf0e4e01a0496508c498da6807630c28	7.111	1160	232	6509	5775
0x20	0x080000	16384	26d513f7cb64e45ebf3ad021b88bb31b665072f0	6.485	1134	190	5467	5588
0x21	0x084000	16384	90ff0b166ae8fec4e21b0d0ac3f22571f05b1d7f	6.383	1744	176	5202	4862
0x22	0x088000	16384	c50babf122d1df46d226d21d13d72eb7f2d0c6e1	6.034	3347	164	4732	4639
0x23	0x08C000	16384	b5e5f757b8d98bec199739324e8a8b3135eced43	5.224	378	141	5538	3641
0x24	0x090000	16384	6d43a156f12140e25c5713b14ab15c88938b9336	6.669	1262	127	5497	5379
0x25	0x094000	16384	f5e1f52037112e0b339da3b3b74b20b5ccfd887e	5.803	3489	141	5147	5135
0x26	0x098000	16384	fbaf63ae88c3946ab65e9e2fef8074883267f9d1	5.928	2821	33	5543	5619
0x27	0x09C000	16384	baf40c6bbd2a3eb7ec1211f8dd4c5e58e1206880	6.594	1770	227	5303	5620
0x28	0x0A0000	16384	11646724a4e6cfb931d84f776d9dbdf2fb81d7bd	6.512	1563	85	5415	4617
0x29	0x0A4000	16384	3ccfd6afeb61e8131b00e6ea4062f9e18bab37aa	6.311	1527	210	5811	5842
0x2A	0x0A8000	16384	d63de928ceb4d7be4aafc5c5598b695a98450eaf	6.466	1222	251	5506	5038
0x2B	0x0AC000	16384	8614245c06bc64d27ec0cfa49968cb3376fe7b30	5.847	3392	89	5073	4718
0x2C	0x0B0000	16384	3dd10c4f8f7559a41d6e12cad7ea3511125171a4	7.217	1004	186	5574	6286
0x2D	0x0B4000	16384	fc2ee8db107ba2d889e66ac96341826d1e151bff	6.421	1282	112	5789	5474
0x2E	0x0B8000	16384	d584343b87c1fa785d267ce131f34740c8f71655	6.144	2779	357	4543	4944
0x2F	0x0BC000	16384	b740cb2954eb94c8276565e6e3ef45c7d69b5298	6.229	2985	61	4897	5260
0x30	0x0C0000	16384	d65ba7ffedace48bc6045907010d0a0ea66c5ff7	6.437	1068	400	4266	6036
0x31	0x0C4000	16384	1c842607faead22dcd1c9fd7be74a234ffe89608	7.482	1485	176	4939	6464
0x32	0x0C8000	16384	b9b3c01167242dc8c36811fe7485e06bf1ce2fda	6.13	3061	114	4653	4484
0x33	0x0CC000	16384	b11c4c49b95f84a438b3e819be1e54384d36513c	5.701	4609	39	4364	3225
0x34	0x0D0000	16384	d402a29b54151cbb2d8294c2fa0c25d72664efc7	6.572	1180	145	5062	4619
0x35	0x0D4000	16384	23ae8e16d7278380ca93fadc55ef5d79dbca43d2	5.903	2724	232	3994	5026
0x36	0x0D8000	16384	516653b5ccf398b7bc36c201db025f0cada13e11	6.208	3236	622	4603	5086
0x37	0x0DC000	16384	6f8a48ca7c2010249a387fb038f6db0c1a26765b	4.771	3107	163	4282	2742
0x38	0x0E0000	16384	615b8df7e046270277ae2249f7c132c8ff770ca4	6.298	3648	630	4892	4854
0x39	0x0E4000	16384	ce66d50d03c72665d1ba344d5edc3b4838f47cbd	6.361	1414	3055	2638	9571
0x3A	0x0E8000	16384	bfed9b2505a2201bb664a3f6ae0d5a67a32db9c5	7.639	1055	252	5150	7170
0x3B	0x0EC000	16384	50a7b730581e7a0ea60ab73c4fc8463c49b26a8a	7.766	502	236	5119	7717
0x3C	0x0F0000	16384	ccb5326f0f0b54c277997298c0b36a0fa40486b1	7.729	685	230	5052	7536
