byte	count
0x00	118886
0x01	23279
0x02	11753
0x03	17240
0x04	9950
0x05	8001
0x06	6932
0x07	6403
0x08	5738
0x09	6010
0x0A	4771
0x0B	3578
0x0C	5173
0x0D	3503
0x0E	6820
0x0F	7667
0x10	6532
0x11	9700
0x12	5838
0x13	7944
0x14	4446
0x15	3045
0x16	3209
0x17	2604
0x18	3804
0x19	9435
0x1A	10211
0x1B	2523
0x1C	3202
0x1D	2469
0x1E	7748
0x1F	4385
0x20	5867
0x21	18615
0x22	5264
0x23	19676
0x24	2494
0x25	2123
0x26	5080
0x27	1793
0x28	4682
0x29	8100
0x2A	4214
0x2B	1838
0x2C	1852
0x2D	1279
0x2E	4363
0x2F	2029
0x30	3332
0x31	1913
0x32	1693
0x33	1807
0x34	2003
0x35	1272
0x36	19399
0x37	3331
0x38	8463
0x39	2215
0x3A	2105
0x3B	1573
0x3C	3469
0x3D	3030
0x3E	8602
0x3F	3755
0x40	6394
0x41	3175
0x42	2444
0x43	2033
0x44	5288
0x45	1659
0x46	3927
0x47	2367
0x48	2427
0x49	2110
0x4A	1460
0x4B	2193
0x4C	1937
0x4D	3937
0x4E	3710
0x4F	3537
0x50	3851
0x51	1860
0x52	1555
0x53	1815
0x54	3032
0x55	1935
0x56	2655
0x57	2025
0x58	1765
0x59	1946
0x5A	1772
0x5B	1570
0x5C	1968
0x5D	2991
0x5E	4103
0x5F	3847
0x60	4321
0x61	2152
0x62	2257
0x63	1975
0x64	2064
0x65	1706
0x66	2519
0x67	2807
0x68	3986
0x69	2514
0x6A	1615
0x6B	1921
0x6C	2005
0x6D	1837
0x6E	4081
0x6F	3436
0x70	3073
0x71	2461
0x72	2222
0x73	2601
0x74	2082
0x75	1857
0x76	2174
0x77	4359
0x78	2561
0x79	2500
0x7A	2233
0x7B	2940
0x7C	2947
0x7D	2621
0x7E	8112
0x7F	4161
0x80	5932
0x81	2432
0x82	1673
0x83	1741
0x84	1336
0x85	1206
0x86	1306
0x87	2076
0x88	1813
0x89	1233
0x8A	1119
0x8B	1156
0x8C	1251
0x8D	1069
0x8E	1202
0x8F	1779
0x90	2140
0x91	1252
0x92	997
0x93	1733
0x94	1072
0x95	2867
0x96	1036
0x97	988
0x98	2395
0x99	1193
0x9A	1005
0x9B	1114
0x9C	1540
0x9D	1174
0x9E	1477
0x9F	1628
0xA0	3345
0xA1	1308
0xA2	2939
0xA3	1043
0xA4	1012
0xA5	915
0xA6	1007
0xA7	1280
0xA8	1294
0xA9	1540
0xAA	1069
0xAB	1112
0xAC	997
0xAD	870
0xAE	1122
0xAF	4116
0xB0	2181
0xB1	1678
0xB2	1479
0xB3	1471
0xB4	1404
0xB5	1108
0xB6	1502
0xB7	4428
0xB8	1724
0xB9	1261
0xBA	1409
0xBB	1468
0xBC	1607
0xBD	1572
0xBE	1700
0xBF	2287
0xC0	4502
0xC1	7967
0xC2	14630
0xC3	9170
0xC4	1715
0xC5	4743
0xC6	2162
0xC7	4267
0xC8	2865
0xC9	6583
0xCA	4882
0xCB	2115
0xCC	1248
0xCD	32946
0xCE	1423
0xCF	2337
0xD0	1797
0xD1	7327
0xD2	2492
0xD3	1308
0xD4	1175
0xD5	7131
0xD6	1245
0xD7	2959
0xD8	3531
0xD9	1319
0xDA	1648
0xDB	1109
0xDC	1609
0xDD	1731
0xDE	2585
0xDF	2103
0xE0	4324
0xE1	7828
0xE2	1671
0xE3	1406
0xE4	1461
0xE5	10325
0xE6	4656
0xE7	1905
0xE8	2254
0xE9	1181
0xEA	3955
0xEB	1297
0xEC	1396
0xED	918
0xEE	1669
0xEF	1769
0xF0	3936
0xF1	3989
0xF2	1439
0xF3	1310
0xF4	2217
0xF5	4278
0xF6	1599
0xF7	2043
0xF8	19212
0xF9	1539
0xFA	5831
0xFB	2168
0xFC	4618
0xFD	1916
0xFE	10482
0xFF	16759
