bank	bank_offset	address	label	comment
0x00	0x0000	0x0000	comic_Bank00_Start	bank start
0x00	0x0040	0x0040	comic_TileCandidate_00_0040	suspected 2bpp tile run
0x00	0x006E	0x006E	comic_TextCandidate_00_006E	suspected text/data run
0x00	0x0080	0x0080	comic_TextCandidate_00_0080	suspected text/data run
0x00	0x0089	0x0089	comic_TextCandidate_00_0089	suspected text/data run
0x00	0x009A	0x009A	comic_TextCandidate_00_009A	suspected text/data run
0x00	0x00B5	0x00B5	comic_TextCandidate_00_00B5	suspected text/data run
0x00	0x00C5	0x00C5	comic_TextCandidate_00_00C5	suspected text/data run
0x00	0x00CE	0x00CE	comic_TextCandidate_00_00CE	suspected text/data run
0x00	0x00DB	0x00DB	comic_TextCandidate_00_00DB	suspected text/data run
0x00	0x0100	0x0100	EntryPoint	cartridge entry point
0x00	0x0101	0x0101	comic_TextCandidate_00_0101	suspected text/data run
0x00	0x0104	0x0104	NintendoLogo	Nintendo logo data
0x00	0x011B	0x011B	comic_TextCandidate_00_011B	suspected text/data run
0x00	0x0134	0x0134	ROMHeader_Title	ROM header title
0x00	0x013F	0x013F	comic_TextCandidate_00_013F	suspected text/data run
0x00	0x0143	0x0143	ROMHeader_CGBFlag	ROM header CGB flag
0x00	0x0147	0x0147	ROMHeader_CartType	ROM header cart type
0x00	0x014D	0x014D	ROMHeader_HeaderChecksum	ROM header checksum
0x00	0x014E	0x014E	ROMHeader_GlobalChecksum	ROM header global checksum
0x00	0x0150	0x0150	StartAfterHeader	first byte after ROM header
0x00	0x015A	0x015A	comic_TextCandidate_00_015A	suspected text/data run
0x00	0x0173	0x0173	comic_TextCandidate_00_0173	suspected text/data run
0x00	0x0182	0x0182	comic_TextCandidate_00_0182	suspected text/data run
0x00	0x018F	0x018F	comic_TextCandidate_00_018F	suspected text/data run
0x00	0x01AF	0x01AF	comic_TextCandidate_00_01AF	suspected text/data run
0x00	0x01BA	0x01BA	comic_FreeSpace_00_01BA	free-space run
0x00	0x01E7	0x01E7	comic_TextCandidate_00_01E7	suspected text/data run
0x00	0x01F3	0x01F3	comic_TextCandidate_00_01F3	suspected text/data run
0x00	0x022E	0x022E	comic_TextCandidate_00_022E	suspected text/data run
0x00	0x0239	0x0239	comic_TextCandidate_00_0239	suspected text/data run
0x00	0x027A	0x027A	comic_TextCandidate_00_027A	suspected text/data run
0x00	0x0294	0x0294	comic_TextCandidate_00_0294	suspected text/data run
0x00	0x029E	0x029E	comic_FreeSpace_00_029E	free-space run
0x00	0x02F0	0x02F0	comic_TileCandidate_00_02F0	suspected 2bpp tile run
0x00	0x02FD	0x02FD	comic_TextCandidate_00_02FD	suspected text/data run
0x00	0x0334	0x0334	comic_TextCandidate_00_0334	suspected text/data run
0x00	0x034B	0x034B	comic_TextCandidate_00_034B	suspected text/data run
0x00	0x0359	0x0359	comic_TextCandidate_00_0359	suspected text/data run
0x00	0x036D	0x036D	comic_TextCandidate_00_036D	suspected text/data run
0x00	0x038B	0x038B	comic_TextCandidate_00_038B	suspected text/data run
0x00	0x03AC	0x03AC	comic_TextCandidate_00_03AC	suspected text/data run
0x00	0x03BF	0x03BF	comic_TextCandidate_00_03BF	suspected text/data run
0x00	0x03C9	0x03C9	comic_TextCandidate_00_03C9	suspected text/data run
0x00	0x03FC	0x03FC	comic_TextCandidate_00_03FC	suspected text/data run
0x00	0x0406	0x0406	comic_TextCandidate_00_0406	suspected text/data run
0x00	0x0413	0x0413	comic_TextCandidate_00_0413	suspected text/data run
0x00	0x0420	0x0420	comic_TextCandidate_00_0420	suspected text/data run
0x00	0x0443	0x0443	comic_TextCandidate_00_0443	suspected text/data run
0x00	0x0453	0x0453	comic_TextCandidate_00_0453	suspected text/data run
0x00	0x0471	0x0471	comic_TextCandidate_00_0471	suspected text/data run
0x00	0x048F	0x048F	comic_FreeSpace_00_048F	free-space run
0x00	0x0500	0x0500	comic_TileCandidate_00_0500	suspected 2bpp tile run
