table_offset	bank	count	first_ptr	last_ptr	monotonic
0x003958	0x00	29	0x4544	0x4342	0
0x00395A	0x00	28	0x4746	0x4342	0
0x00395C	0x00	27	0x4948	0x4342	0
0x00395E	0x00	26	0x4B4A	0x4342	0
0x003960	0x00	25	0x4D4C	0x4342	0
0x003962	0x00	24	0x4E14	0x4342	0
0x003964	0x00	23	0x504F	0x4342	0
0x003966	0x00	22	0x5251	0x4342	0
0x003968	0x00	21	0x5453	0x4342	0
0x00396A	0x00	20	0x5655	0x4342	0
0x00396C	0x00	19	0x5857	0x4342	0
0x00396E	0x00	18	0x5A59	0x4342	0
0x003970	0x00	17	0x5C5B	0x4342	0
0x003972	0x00	16	0x5E5D	0x4342	0
0x004892	0x01	8	0x4040	0x7070	1
0x004982	0x01	8	0x485C	0x485C	1
0x005372	0x01	16	0x7C7C	0x6262	0
0x018600	0x06	8	0x41AA	0x41AA	1
0x018AA0	0x06	8	0x5C5F	0x5C5F	1
0x018AE0	0x06	8	0x5C5F	0x5C5F	1
0x018BB0	0x06	12	0x5555	0x5555	1
0x018BB2	0x06	11	0x5555	0x5555	1
0x018BB4	0x06	10	0x5555	0x5555	1
0x018BB6	0x06	9	0x5555	0x5555	1
0x018BB8	0x06	8	0x5555	0x5555	1
0x018C30	0x06	8	0x724E	0x724E	1
0x01C13A	0x07	16	0x585F	0x6666	0
0x01C2EE	0x07	14	0x4603	0x533B	1
0x01C2F0	0x07	13	0x473B	0x533B	1
0x01C2F2	0x07	12	0x483B	0x533B	1
0x01C2F4	0x07	11	0x493B	0x533B	1
0x01C2F6	0x07	10	0x4A3B	0x533B	1
0x01C2F8	0x07	9	0x4B3B	0x533B	1
0x01C2FA	0x07	8	0x4C3B	0x533B	1
0x01C528	0x07	9	0x463A	0x76F4	1
0x01C52A	0x07	8	0x4E42	0x76F4	1
0x01C716	0x07	18	0x40EC	0x6407	0
0x01C718	0x07	17	0x44EC	0x6407	0
0x01C71A	0x07	16	0x48EC	0x6407	0
0x01C96A	0x07	19	0x7A67	0x7CA7	0
0x01C96C	0x07	18	0x7A87	0x7CA7	0
0x01C96E	0x07	17	0x7AA7	0x7CA7	0
