table_offset	bank	bank_offset	address	count	byte_length	first_ptr	last_ptr	monotonic	span	valid_sample_targets	score
0x07C000	0x1F	0x0000	0x4000	89	178	0x5267	0x617C	False	3861	16	89
0x07C002	0x1F	0x0002	0x4002	88	176	0x526E	0x617C	False	3854	16	88
0x07C004	0x1F	0x0004	0x4004	87	174	0x5275	0x617C	False	3847	16	87
0x07C006	0x1F	0x0006	0x4006	86	172	0x527C	0x617C	False	3840	16	86
0x07C008	0x1F	0x0008	0x4008	85	170	0x5283	0x617C	False	3833	16	85
0x07C00A	0x1F	0x000A	0x400A	84	168	0x52B3	0x617C	False	3785	16	84
0x07C00C	0x1F	0x000C	0x400C	83	166	0x52C8	0x617C	False	3764	16	83
0x0FEDBC	0x3F	0x2DBC	0x6DBC	63	126	0x6210	0x6210	True	0	16	83
0x07C00E	0x1F	0x000E	0x400E	82	164	0x52DE	0x617C	False	3742	16	82
0x0FEDBE	0x3F	0x2DBE	0x6DBE	62	124	0x6210	0x6210	True	0	16	82
0x07C010	0x1F	0x0010	0x4010	81	162	0x52E0	0x617C	False	3740	16	81
0x0FEDC0	0x3F	0x2DC0	0x6DC0	61	122	0x6210	0x6210	True	0	16	81
0x07C012	0x1F	0x0012	0x4012	80	160	0x52E7	0x617C	False	3733	16	80
0x0FEDC2	0x3F	0x2DC2	0x6DC2	60	120	0x6210	0x6210	True	0	16	80
0x07C014	0x1F	0x0014	0x4014	79	158	0x5322	0x617C	False	3674	16	79
0x0FEDC4	0x3F	0x2DC4	0x6DC4	59	118	0x6210	0x6210	True	0	16	79
0x07C016	0x1F	0x0016	0x4016	78	156	0x5382	0x617C	False	3578	16	78
0x0FEDC6	0x3F	0x2DC6	0x6DC6	58	116	0x6210	0x6210	True	0	16	78
0x07C018	0x1F	0x0018	0x4018	77	154	0x538C	0x617C	False	3568	16	77
0x0FEDC8	0x3F	0x2DC8	0x6DC8	57	114	0x6210	0x6210	True	0	16	77
0x07C01A	0x1F	0x001A	0x401A	76	152	0x53BC	0x617C	False	3520	16	76
0x0FEDCA	0x3F	0x2DCA	0x6DCA	56	112	0x6210	0x6210	True	0	16	76
0x07C01C	0x1F	0x001C	0x401C	75	150	0x5391	0x617C	False	3563	16	75
0x0FEDCC	0x3F	0x2DCC	0x6DCC	55	110	0x6210	0x6210	True	0	16	75
0x07C01E	0x1F	0x001E	0x401E	74	148	0x496E	0x617C	False	6158	16	74
0x0FEDCE	0x3F	0x2DCE	0x6DCE	54	108	0x6210	0x6210	True	0	16	74
0x03817E	0x0E	0x017E	0x417E	53	106	0x4358	0x5446	True	4334	16	73
0x07C020	0x1F	0x0020	0x4020	73	146	0x61E8	0x617C	False	-108	16	73
0x0FEDD0	0x3F	0x2DD0	0x6DD0	53	106	0x6210	0x6210	True	0	16	73
0x038180	0x0E	0x0180	0x4180	52	104	0x438E	0x5446	True	4280	16	72
0x07C022	0x1F	0x0022	0x4022	72	144	0x61C0	0x617C	False	-68	16	72
0x0FEDD2	0x3F	0x2DD2	0x6DD2	52	104	0x6210	0x6210	True	0	16	72
0x038182	0x0E	0x0182	0x4182	51	102	0x4440	0x5446	True	4102	16	71
0x07C024	0x1F	0x0024	0x4024	71	142	0x62D8	0x617C	False	-348	16	71
0x0FEDD4	0x3F	0x2DD4	0x6DD4	51	102	0x6210	0x6210	True	0	16	71
0x038184	0x0E	0x0184	0x4184	50	100	0x4472	0x5446	True	4052	16	70
0x07C026	0x1F	0x0026	0x4026	70	140	0x6320	0x617C	False	-420	16	70
0x0FEDD6	0x3F	0x2DD6	0x6DD6	50	100	0x6210	0x6210	True	0	16	70
0x038186	0x0E	0x0186	0x4186	49	98	0x44C0	0x5446	True	3974	16	69
0x07C028	0x1F	0x0028	0x4028	69	138	0x6486	0x617C	False	-778	16	69
0x0FEDD8	0x3F	0x2DD8	0x6DD8	49	98	0x6210	0x6210	True	0	16	69
0x038188	0x0E	0x0188	0x4188	48	96	0x44F0	0x5446	True	3926	16	68
0x07C02A	0x1F	0x002A	0x402A	68	136	0x6497	0x617C	False	-795	16	68
0x0FEDDA	0x3F	0x2DDA	0x6DDA	48	96	0x6210	0x6210	True	0	16	68
0x03818A	0x0E	0x018A	0x418A	47	94	0x453D	0x5446	True	3849	16	67
0x07C02C	0x1F	0x002C	0x402C	67	134	0x6373	0x617C	False	-503	16	67
0x0FEDDC	0x3F	0x2DDC	0x6DDC	47	94	0x6210	0x6210	True	0	16	67
0x03818C	0x0E	0x018C	0x418C	46	92	0x457E	0x5446	True	3784	16	66
0x07C02E	0x1F	0x002E	0x402E	66	132	0x644D	0x617C	False	-721	16	66
0x0FEDB6	0x3F	0x2DB6	0x6DB6	66	132	0x41D0	0x6210	False	8256	16	66
0x0FEDDE	0x3F	0x2DDE	0x6DDE	46	92	0x6210	0x6210	True	0	16	66
0x03818E	0x0E	0x018E	0x418E	45	90	0x458C	0x5446	True	3770	16	65
0x07C030	0x1F	0x0030	0x4030	65	130	0x64AA	0x617C	False	-814	16	65
0x0938F4	0x24	0x38F4	0x78F4	45	90	0x4035	0x7EFC	True	16071	16	65
0x0FEDB8	0x3F	0x2DB8	0x6DB8	65	130	0x40D0	0x6210	False	8512	16	65
0x0FEDE0	0x3F	0x2DE0	0x6DE0	45	90	0x6210	0x6210	True	0	16	65
0x038190	0x0E	0x0190	0x4190	44	88	0x4599	0x5446	True	3757	16	64
0x07C032	0x1F	0x0032	0x4032	64	128	0x64D2	0x617C	False	-854	16	64
0x0938F6	0x24	0x38F6	0x78F6	44	88	0x41A2	0x7EFC	True	15706	16	64
0x0FEDBA	0x3F	0x2DBA	0x6DBA	64	128	0x62D0	0x6210	False	-192	16	64
0x0FEDE2	0x3F	0x2DE2	0x6DE2	44	88	0x6210	0x6210	True	0	16	64
0x03816A	0x0E	0x016A	0x416A	63	126	0x43CB	0x5446	False	4219	16	63
0x038192	0x0E	0x0192	0x4192	43	86	0x470D	0x5446	True	3385	16	63
0x07C034	0x1F	0x0034	0x4034	63	126	0x62FD	0x617C	False	-385	16	63
0x0938F8	0x24	0x38F8	0x78F8	43	86	0x430F	0x7EFC	True	15341	16	63
0x0FEDE4	0x3F	0x2DE4	0x6DE4	43	86	0x6210	0x6210	True	0	16	63
0x03816C	0x0E	0x016C	0x416C	62	124	0x45BF	0x5446	False	3719	16	62
0x038194	0x0E	0x0194	0x4194	42	84	0x4733	0x5446	True	3347	16	62
0x07C036	0x1F	0x0036	0x4036	62	124	0x632F	0x617C	False	-435	16	62
0x0938FA	0x24	0x38FA	0x78FA	42	84	0x447C	0x7EFC	True	14976	16	62
0x0FEDE6	0x3F	0x2DE6	0x6DE6	42	84	0x6210	0x6210	True	0	16	62
0x03816E	0x0E	0x016E	0x416E	61	122	0x4412	0x5446	False	4148	16	61
0x038196	0x0E	0x0196	0x4196	41	82	0x475E	0x5446	True	3304	16	61
0x07C038	0x1F	0x0038	0x4038	61	122	0x64F4	0x617C	False	-888	16	61
0x0938FC	0x24	0x38FC	0x78FC	41	82	0x45EA	0x7EFC	True	14610	16	61
0x0FEDE8	0x3F	0x2DE8	0x6DE8	41	82	0x6210	0x6210	True	0	16	61
0x038170	0x0E	0x0170	0x4170	60	120	0x45CF	0x5446	False	3703	16	60
0x038198	0x0E	0x0198	0x4198	40	80	0x477C	0x5446	True	3274	16	60
0x07C03A	0x1F	0x003A	0x403A	60	120	0x6523	0x617C	False	-935	16	60
0x0938FE	0x24	0x38FE	0x78FE	40	80	0x4757	0x7EFC	True	14245	16	60
