offset	bank	bank_offset	address	length	ascii_ratio	high_byte_ratio	entropy	sample_hex	sample_ascii_lossy
0x00006E	0x00	0x006E	0x006E	10	0.7	0.0	3.322	0b5e23561a13722b735f	.^#V..r+s_
0x000080	0x00	0x0080	0x0080	8	0.5	0.125	2.75	21e00119195e2356	!....^#V
0x000089	0x00	0x0089	0x0089	16	0.438	0.438	4.0	09732372e1d1f1e803c9532bf0803236	.s#r......S+..26
0x00009A	0x00	0x009A	0x009A	13	0.462	0.308	3.7	2b36bdcb237a07e601c60e6f26	+6..#z.....o&
0x0000B5	0x00	0x00B5	0x00B5	10	0.3	0.6	3.322	06732372e1d1f1c9f5e5	.s#r......
0x0000C5	0x00	0x00C5	0x00C5	8	0.125	0.875	2.75	e1f133c9f5f5d5e5	..3.....
0x0000CE	0x00	0x00CE	0x00CE	12	0.75	0.083	3.585	082a666f5e2356e52b195d54	.*fo^#V.+.]T
0x0000DB	0x00	0x00DB	0x00DB	19	0.421	0.474	3.682	0b722b73d1132b722b73e1d1f1c9afe0813cea	.r+s..+r+s.......<.
0x000101	0x00	0x0101	0x0101	9	0.333	0.444	2.948	c32303ceed6666cc0d	.#...ff..
0x00011B	0x00	0x011B	0x011B	33	0.424	0.515	4.248	0edccc6ee6ddddd999bbbb67636e0eecccdddc999fbbb9333e524f424f20424f	...n.......gcn.........3>ROBO BOM
0x00013F	0x00	0x013F	0x013F	8	0.75	0.125	3.0	4835554a80313803	H5UJ.18.
0x00015A	0x00	0x015A	0x015A	12	0.333	0.583	3.585	4178b1c8f086b728117ce6e0	Ax.....(.|..
0x000173	0x00	0x0173	0x0173	8	0.375	0.25	3.0	c91a13220b78b120	"..."".x. "
0x000182	0x00	0x0182	0x0182	12	0.333	0.417	3.585	f1f5200478b9301bc5e54806	.. .x.0...H.
0x00018F	0x00	0x018F	0x018F	17	0.294	0.588	3.97	c5cda601c1e109c1f1e5684779954f78de	..........hGy.Ox.
0x0001AF	0x00	0x01AF	0x01AF	9	0.111	0.889	2.725	f37de087f08980e089	.}.......
0x0001E7	0x00	0x01E7	0x01E7	11	0.727	0.182	2.845	6f306f396fd376ec760d77	o0o9o.v.v.w
0x0001F3	0x00	0x01F3	0x01F3	58	0.241	0.362	4.37	02b901b901b901b901b901b90196022c023002340238024102450249024d0251	...............,.0.4.8.A.E.I.M.Q...l..}.........W.0.......
0x00022E	0x00	0x022E	0x022E	10	0.3	0.0	2.646	18232e03181f2e06181b	.#........
