offset	bank	bank_offset	address	tiles	bytes	nonzero_bytes	unique_bytes	entropy
0x000040	0x00	0x0040	0x0040	24	384	322	135	6.246
0x0002F0	0x00	0x02F0	0x02F0	26	416	376	98	5.819
0x000500	0x00	0x0500	0x0500	132	2112	1987	204	6.726
0x000E00	0x00	0x0E00	0x0E00	684	10944	10498	255	6.882
0x0038D0	0x00	0x38D0	0x38D0	77	1232	1093	201	6.453
0x004000	0x01	0x0000	0x4000	161	2576	2239	148	5.842
0x004B20	0x01	0x0B20	0x4B20	52	832	523	98	4.619
0x006120	0x01	0x2120	0x6120	109	1744	1716	188	6.479
0x006850	0x01	0x2850	0x6850	375	6000	5748	243	6.787
0x008000	0x02	0x0000	0x4000	1023	16368	15706	254	6.83
0x00C000	0x03	0x0000	0x4000	992	15872	14893	253	6.635
0x010000	0x04	0x0000	0x4000	883	14128	13082	251	6.569
0x014000	0x05	0x0000	0x4000	1023	16368	15422	255	6.668
0x018110	0x06	0x0110	0x4110	30	480	369	148	5.526
0x018410	0x06	0x0410	0x4410	16	256	215	72	5.177
0x018530	0x06	0x0530	0x4530	104	1664	1541	187	6.125
0x018BC0	0x06	0x0BC0	0x4BC0	31	496	451	123	5.961
0x018E00	0x06	0x0E00	0x4E00	160	2560	2264	235	6.32
0x019D20	0x06	0x1D20	0x5D20	127	2032	1871	221	6.225
0x01A520	0x06	0x2520	0x6520	249	3984	3768	252	6.552
0x01B4C0	0x06	0x34C0	0x74C0	20	320	297	81	4.68
0x01B720	0x06	0x3720	0x7720	24	384	353	60	4.093
0x01B8B0	0x06	0x38B0	0x78B0	59	944	830	138	5.435
0x01BD80	0x06	0x3D80	0x7D80	37	592	521	125	5.652
0x01C000	0x07	0x0000	0x4000	957	15312	14179	256	7.413
0x020000	0x08	0x0000	0x4000	964	15424	14334	256	6.646
0x024000	0x09	0x0000	0x4000	889	14224	13364	253	6.576
0x028000	0x0A	0x0000	0x4000	1015	16240	15641	256	7.718
0x02C000	0x0B	0x0000	0x4000	963	15408	14951	256	7.795
0x030000	0x0C	0x0000	0x4000	1015	16240	15223	255	6.798
0x034000	0x0D	0x0000	0x4000	1005	16080	15808	256	7.736
0x038000	0x0E	0x0000	0x4000	4081	65296	65158	256	7.913
0x048000	0x12	0x0000	0x4000	963	15408	15388	256	7.054
0x04C000	0x13	0x0000	0x4000	1016	16256	15421	256	6.788
0x050000	0x14	0x0000	0x4000	955	15280	14384	254	6.69
0x054000	0x15	0x0000	0x4000	1012	16192	14893	256	6.705
0x058000	0x16	0x0000	0x4000	16	256	214	58	4.912
0x058290	0x16	0x0290	0x4290	23	368	329	70	5.095
0x058C00	0x16	0x0C00	0x4C00	806	12896	12004	251	6.61
0x05C000	0x17	0x0000	0x4000	858	13728	12566	253	6.668
0x05F600	0x17	0x3600	0x7600	30	480	292	109	4.749
0x060000	0x18	0x0000	0x4000	683	10928	10370	253	6.703
0x062AC0	0x18	0x2AC0	0x6AC0	325	5200	3823	223	5.614
0x064000	0x19	0x0000	0x4000	774	12384	10331	256	7.065
0x067180	0x19	0x3180	0x7180	137	2192	2063	146	5.699
0x068000	0x1A	0x0000	0x4000	990	15840	14734	254	6.706
0x06C000	0x1B	0x0000	0x4000	949	15184	14221	253	6.49
0x070000	0x1C	0x0000	0x4000	238	3808	3698	239	6.691
0x070EF0	0x1C	0x0EF0	0x4EF0	42	672	485	82	4.489
0x0712D0	0x1C	0x12D0	0x52D0	713	11408	10957	218	5.859
0x074000	0x1D	0x0000	0x4000	238	3808	3698	239	6.691
0x074EF0	0x1D	0x0EF0	0x4EF0	42	672	485	82	4.489
0x075320	0x1D	0x1320	0x5320	708	11328	10162	250	6.101
0x078000	0x1E	0x0000	0x4000	441	7056	6592	256	7.266
0x079BA0	0x1E	0x1BA0	0x5BA0	19	304	302	131	5.638
0x079D30	0x1E	0x1D30	0x5D30	823	13168	12718	256	7.378
0x07D110	0x1F	0x1110	0x5110	733	11728	10728	254	6.989
0x07FF00	0x1F	0x3F00	0x7F00	395	6320	6007	228	6.341
0x0817C0	0x20	0x17C0	0x57C0	631	10096	9446	251	6.361
0x084000	0x21	0x0000	0x4000	472	7552	7054	241	6.35
0x085D90	0x21	0x1D90	0x5D90	46	736	659	133	5.9
0x086080	0x21	0x2080	0x6080	97	1552	1359	156	5.879
0x0866A0	0x21	0x26A0	0x66A0	186	2976	2701	185	6.027
0x087250	0x21	0x3250	0x7250	47	752	633	121	5.644
0x087550	0x21	0x3550	0x7550	119	1904	1735	167	5.946
0x087CD0	0x21	0x3CD0	0x7CD0	34	544	499	102	5.715
0x088000	0x22	0x0000	0x4000	284	4544	4387	203	6.043
0x0891D0	0x22	0x11D0	0x51D0	182	2912	2694	195	6.254
0x089D40	0x22	0x1D40	0x5D40	44	704	580	122	5.671
0x08A010	0x22	0x2010	0x6010	38	608	510	120	5.631
0x08A390	0x22	0x2390	0x6390	63	1008	917	142	5.908
0x08A790	0x22	0x2790	0x6790	16	256	208	66	5.068
0x08A8A0	0x22	0x28A0	0x68A0	46	736	658	122	5.806
0x08AD70	0x22	0x2D70	0x6D70	99	1584	1378	161	5.923
0x08B3B0	0x22	0x33B0	0x73B0	75	1200	1084	155	6.068
0x08C000	0x23	0x0000	0x4000	1022	16352	16006	240	5.223
0x090000	0x24	0x0000	0x4000	726	11616	10766	243	6.496
0x092D70	0x24	0x2D70	0x6D70	290	4640	4356	252	6.905
0x094000	0x25	0x0000	0x4000	834	13344	12895	250	6.42
0x098000	0x26	0x0000	0x4000	875	14000	13563	247	6.362
0x09C000	0x27	0x0000	0x4000	583	9328	8804	251	6.554
0x09E500	0x27	0x2500	0x6500	385	6160	5777	241	6.865
0x0A0000	0x28	0x0000	0x4000	401	6416	6145	233	6.344
0x0A1A00	0x28	0x1A00	0x5A00	601	9616	8493	235	6.272
0x0A4000	0x29	0x0000	0x4000	959	15344	14857	252	6.465
0x0A8000	0x2A	0x0000	0x4000	1015	16240	15162	252	6.489
0x0AC000	0x2B	0x0000	0x4000	849	13584	12992	247	6.424
0x0B0000	0x2C	0x0000	0x4000	998	15968	15380	256	7.291
0x0B4000	0x2D	0x0000	0x4000	990	15840	15102	253	6.503
0x0B8000	0x2E	0x0000	0x4000	878	14048	13254	253	6.528
0x0BB6F0	0x2E	0x36F0	0x76F0	25	400	351	90	5.334
0x0BC060	0x2F	0x0060	0x4060	533	8528	8181	237	6.563
0x0BE1C0	0x2F	0x21C0	0x61C0	349	5584	5122	235	6.565
0x0C0000	0x30	0x0000	0x4000	1008	16128	15316	238	6.474
0x0C4000	0x31	0x0000	0x4000	825	13200	12804	256	7.724
0x0C73E0	0x31	0x33E0	0x73E0	141	2256	2073	194	6.603
0x0C8000	0x32	0x0000	0x4000	408	6528	6201	234	6.404
0x0C9A20	0x32	0x1A20	0x5A20	66	1056	893	134	5.807
0x0C9E50	0x32	0x1E50	0x5E50	27	432	350	81	5.119
0x0CA010	0x32	0x2010	0x6010	52	832	746	125	5.909
0x0CA360	0x32	0x2360	0x6360	26	416	336	85	5.167
0x0CA510	0x32	0x2510	0x6510	78	1248	1073	152	5.909
0x0CAA00	0x32	0x2A00	0x6A00	38	608	540	99	5.596
0x0CAC70	0x32	0x2C70	0x6C70	53	848	742	126	5.801
0x0CAFD0	0x32	0x2FD0	0x6FD0	65	1040	916	130	5.887
0x0CB3F0	0x32	0x33F0	0x73F0	39	624	564	108	5.792
0x0CB670	0x32	0x3670	0x7670	30	480	437	112	5.858
0x0CB860	0x32	0x3860	0x7860	29	464	409	107	5.722
0x0CC000	0x33	0x0000	0x4000	801	12816	11775	244	6.599
0x0D0000	0x34	0x0000	0x4000	1008	16128	15204	247	6.614
0x0D4000	0x35	0x0000	0x4000	936	14976	13660	227	6.178
0x0D8010	0x36	0x0010	0x4010	134	2144	1603	180	4.919
0x0D8CB0	0x36	0x0CB0	0x4CB0	283	4528	3756	213	5.915
0x0D9E70	0x36	0x1E70	0x5E70	424	6784	6570	247	6.594
0x0DB900	0x36	0x3900	0x7900	28	448	359	87	5.335
0x0DBAD0	0x36	0x3AD0	0x7AD0	45	720	655	102	5.604
0x0DC000	0x37	0x0000	0x4000	831	13296	13025	256	4.993
0x0DF810	0x37	0x3810	0x7810	18	288	252	40	4.438
0x0E0010	0x38	0x0010	0x4010	25	400	323	67	4.966
0x0E0200	0x38	0x0200	0x4200	34	544	380	97	5.125
0x0E0430	0x38	0x0430	0x4430	24	384	255	95	4.938
0x0E06C0	0x38	0x06C0	0x46C0	46	736	726	100	5.387
0x0E09B0	0x38	0x09B0	0x49B0	137	2192	1923	229	6.644
0x0E1250	0x38	0x1250	0x5250	247	3952	3613	237	6.712
0x0E21D0	0x38	0x21D0	0x61D0	162	2592	2376	211	6.426
0x0E2C00	0x38	0x2C00	0x6C00	191	3056	2775	184	6.075
0x0E4110	0x39	0x0110	0x4110	30	480	428	162	6.208
0x0E43E0	0x39	0x03E0	0x43E0	125	2000	1829	205	6.232
0x0E4BC0	0x39	0x0BC0	0x4BC0	21	336	308	108	5.882
0x0E4E00	0x39	0x0E00	0x4E00	160	2560	2293	240	6.38
0x0E5D20	0x39	0x1D20	0x5D20	127	2032	1891	229	6.44
0x0E6520	0x39	0x2520	0x6520	249	3984	3750	251	6.557
0x0E74C0	0x39	0x34C0	0x74C0	44	704	642	103	4.705
0x0E7790	0x39	0x3790	0x7790	17	272	249	56	4.174
0x0E78B0	0x39	0x38B0	0x78B0	59	944	813	132	5.309
0x0E7D80	0x39	0x3D80	0x7D80	37	592	523	124	5.684
0x0E8000	0x3A	0x0000	0x4000	986	15776	15329	256	7.762
0x0EC000	0x3B	0x0000	0x4000	1020	16320	15882	256	7.776
0x0F0000	0x3C	0x0000	0x4000	1010	16160	15699	256	7.769
0x0F4000	0x3D	0x0000	0x4000	994	15904	15421	256	7.764
0x0F8000	0x3E	0x0000	0x4000	962	15392	14696	256	7.596
0x0FC000	0x3F	0x0000	0x4000	81	1296	1197	184	6.294
0x0FC580	0x3F	0x0580	0x4580	499	7984	7498	250	6.712
0x0FE4F0	0x3F	0x24F0	0x64F0	149	2384	1712	146	3.952
0x0FEF30	0x3F	0x2F30	0x6F30	233	3728	2561	219	5.033
