offset	bank	tiles	nonzero_bytes	unique_bytes
0x000040	0x00	24	322	135
0x0002F0	0x00	26	376	98
0x000500	0x00	132	1987	204
0x000E00	0x00	684	10498	255
0x0038D0	0x00	77	1093	201
0x004000	0x01	161	2239	148
0x004B20	0x01	52	523	98
0x006120	0x01	109	1716	188
0x006850	0x01	375	5748	243
0x008000	0x02	1023	15706	254
0x00C000	0x03	992	14893	253
0x010000	0x04	883	13082	251
0x014000	0x05	1023	15422	255
0x018110	0x06	30	369	148
0x018410	0x06	16	215	72
0x018530	0x06	104	1541	187
0x018BC0	0x06	31	451	123
0x018E00	0x06	160	2264	235
0x019D20	0x06	127	1871	221
0x01A520	0x06	249	3768	252
0x01B4C0	0x06	20	297	81
0x01B720	0x06	24	353	60
0x01B8B0	0x06	59	830	138
0x01BD80	0x06	37	521	125
0x01C000	0x07	957	14179	256
0x020000	0x08	964	14334	256
0x024000	0x09	889	13364	253
0x028000	0x0A	1015	15641	256
0x02C000	0x0B	963	14951	256
0x030000	0x0C	1015	15223	255
0x034000	0x0D	1005	15808	256
0x038000	0x0E	4081	65158	256
0x048000	0x12	963	15388	256
0x04C000	0x13	1016	15421	256
0x050000	0x14	955	14384	254
0x054000	0x15	1012	14893	256
0x058000	0x16	16	214	58
0x058290	0x16	23	329	70
0x058C00	0x16	806	12004	251
0x05C000	0x17	858	12566	253
0x05F600	0x17	30	292	109
0x060000	0x18	683	10370	253
0x062AC0	0x18	325	3823	223
0x064000	0x19	774	10331	256
0x067180	0x19	137	2063	146
0x068000	0x1A	990	14734	254
0x06C000	0x1B	949	14221	253
0x070000	0x1C	238	3698	239
0x070EF0	0x1C	42	485	82
0x0712D0	0x1C	713	10957	218
0x074000	0x1D	238	3698	239
0x074EF0	0x1D	42	485	82
0x075320	0x1D	708	10162	250
0x078000	0x1E	441	6592	256
0x079BA0	0x1E	19	302	131
0x079D30	0x1E	823	12718	256
0x07D110	0x1F	733	10728	254
0x07FF00	0x1F	395	6007	228
0x0817C0	0x20	631	9446	251
0x084000	0x21	472	7054	241
0x085D90	0x21	46	659	133
0x086080	0x21	97	1359	156
0x0866A0	0x21	186	2701	185
0x087250	0x21	47	633	121
0x087550	0x21	119	1735	167
0x087CD0	0x21	34	499	102
0x088000	0x22	284	4387	203
0x0891D0	0x22	182	2694	195
0x089D40	0x22	44	580	122
0x08A010	0x22	38	510	120
0x08A390	0x22	63	917	142
0x08A790	0x22	16	208	66
0x08A8A0	0x22	46	658	122
0x08AD70	0x22	99	1378	161
0x08B3B0	0x22	75	1084	155
0x08C000	0x23	1022	16006	240
0x090000	0x24	726	10766	243
0x092D70	0x24	290	4356	252
0x094000	0x25	834	12895	250
0x098000	0x26	875	13563	247
0x09C000	0x27	583	8804	251
0x09E500	0x27	385	5777	241
0x0A0000	0x28	401	6145	233
0x0A1A00	0x28	601	8493	235
0x0A4000	0x29	959	14857	252
0x0A8000	0x2A	1015	15162	252
0x0AC000	0x2B	849	12992	247
0x0B0000	0x2C	998	15380	256
0x0B4000	0x2D	990	15102	253
0x0B8000	0x2E	878	13254	253
0x0BB6F0	0x2E	25	351	90
0x0BC060	0x2F	533	8181	237
0x0BE1C0	0x2F	349	5122	235
0x0C0000	0x30	1008	15316	238
0x0C4000	0x31	825	12804	256
0x0C73E0	0x31	141	2073	194
0x0C8000	0x32	408	6201	234
0x0C9A20	0x32	66	893	134
0x0C9E50	0x32	27	350	81
0x0CA010	0x32	52	746	125
0x0CA360	0x32	26	336	85
0x0CA510	0x32	78	1073	152
0x0CAA00	0x32	38	540	99
0x0CAC70	0x32	53	742	126
0x0CAFD0	0x32	65	916	130
0x0CB3F0	0x32	39	564	108
0x0CB670	0x32	30	437	112
0x0CB860	0x32	29	409	107
0x0CC000	0x33	801	11775	244
0x0D0000	0x34	1008	15204	247
0x0D4000	0x35	936	13660	227
0x0D8010	0x36	134	1603	180
0x0D8CB0	0x36	283	3756	213
0x0D9E70	0x36	424	6570	247
0x0DB900	0x36	28	359	87
0x0DBAD0	0x36	45	655	102
0x0DC000	0x37	831	13025	256
0x0DF810	0x37	18	252	40
0x0E0010	0x38	25	323	67
0x0E0200	0x38	34	380	97
0x0E0430	0x38	24	255	95
0x0E06C0	0x38	46	726	100
0x0E09B0	0x38	137	1923	229
0x0E1250	0x38	247	3613	237
0x0E21D0	0x38	162	2376	211
0x0E2C00	0x38	191	2775	184
0x0E4110	0x39	30	428	162
0x0E43E0	0x39	125	1829	205
0x0E4BC0	0x39	21	308	108
0x0E4E00	0x39	160	2293	240
0x0E5D20	0x39	127	1891	229
0x0E6520	0x39	249	3750	251
0x0E74C0	0x39	44	642	103
0x0E7790	0x39	17	249	56
0x0E78B0	0x39	59	813	132
0x0E7D80	0x39	37	523	124
0x0E8000	0x3A	986	15329	256
0x0EC000	0x3B	1020	15882	256
0x0F0000	0x3C	1010	15699	256
0x0F4000	0x3D	994	15421	256
0x0F8000	0x3E	962	14696	256
0x0FC000	0x3F	81	1197	184
0x0FC580	0x3F	499	7498	250
0x0FE4F0	0x3F	149	1712	146
0x0FEF30	0x3F	233	2561	219
