bank	offset	size	sha1	entropy	zero_bytes	ff_bytes	ascii_printable_bytes	high_bytes
0x00	0x000000	16384	23cf402d1168124473c2637953193b7e8daa8e96	6.779	1859	92	4812	6864
0x01	0x004000	16384	dd08f80dfcca50fcf4b3a0dad01109ee12a0d83b	5.454	5915	114	3855	3905
0x02	0x008000	16384	dafe065a6f61126fbb932f3e73cfb1ee418f438e	6.826	679	102	5846	7296
0x03	0x00C000	16384	0c1a06f8c504f4aa5826d5d82183ee835881b43e	6.544	1491	50	5401	5642
0x04	0x010000	16384	48a46e7857f2f5c1aeeff7333bb20145d041f9ea	6.061	3302	22	5191	4685
0x05	0x014000	16384	7c1deed11234a4ca5fcb410169541fe9df5b7ecf	6.665	962	179	6454	5938
0x06	0x018000	16384	1108628676cd77e259f8bce387f923bd0cb72715	6.264	2179	2524	2418	8891
0x07	0x01C000	16384	858849bcb8ab577730545a9be008da4b2031367d	7.132	2238	25	5086	5400
0x08	0x020000	16384	6cbdb571fa39b2ec5916a9982f588e849d805bde	6.454	2050	63	6197	5248
0x09	0x024000	16384	dce89dcfa4ee6ff46d4b5971f279ea0d6aacb38b	6.114	3020	3	6259	4438
0x0A	0x028000	16384	d20b76e9062f0f533616592a773f2e250b6d3653	7.69	743	4	5705	6526
0x0B	0x02C000	16384	a4363df2f5c780e37901dd083d564fa3f95ee8d4	7.578	1433	22	5054	7052
0x0C	0x030000	16384	b34c279bd2dba12f7411ff0bd13c8610763ba4b1	6.772	1161	107	6379	5863
0x0D	0x034000	16384	e400e97ea280c3528d1ac5771c0881919ac219cd	7.69	576	139	5369	6904
0x0E	0x038000	16384	fbcda6fb710059f8b5180d63826f2101c7cdb23f	7.731	31	74	5477	8568
0x0F	0x03C000	16384	460e3864e26f24a3992906dc6a4e9fc897eba9b4	7.925	26	115	5883	8820
0x10	0x040000	16384	4bdd09f7c3a54457747a6c73891f6004a6d0245d	7.924	46	136	5819	8844
0x11	0x044000	16384	6bda63313d859c7256322969f160557cb4757053	7.879	390	110	5684	8642
0x12	0x048000	16384	e3af42021f86f2fa69e569336cd2e543f0333ce8	6.951	996	87	4486	7827
0x13	0x04C000	16384	369612f23a128763018a54f25433483381322667	6.767	963	94	5679	6646
0x14	0x050000	16384	25fc14eb2a045cc2e30f504d38ed94846587f023	6.473	2000	96	5961	5477
0x15	0x054000	16384	82448c8c62731dfdb8cfbacee262b5f7e8b930e0	6.668	1491	110	5927	5857
0x16	0x058000	16384	649f212f9e608711af03b2aa39013dfd4646d0fa	6.427	2708	206	5385	5320
0x17	0x05C000	16384	388f7b802bd83c5ea17756d1ff4ab4b1b39cb768	6.297	3076	519	5457	5220
0x18	0x060000	16384	3abc8f9443a7c1744b3dcd1dda2683d6275f0114	6.566	2175	341	4746	5331
0x19	0x064000	16384	37c7766afd79ce2a9b6e4d46faf5f00c1cdc8fbd	6.595	3990	150	5069	4379
0x1A	0x068000	16384	81ab6c0d44a7fbc8e924b3b66ce9b85baf488b1e	6.602	1650	82	5896	5934
0x1B	0x06C000	16384	8645aff85ee4b37dbca687f2aabbde1efb03f3fa	6.261	2163	25	5558	5751
0x1C	0x070000	16384	d44eccde485985aedbe09747c02f3e4ba4e14e8f	6.505	811	275	4503	8477
0x1D	0x074000	16384	9cf2edc64f67acfb8da6658ffc13c6b317a5efc0	6.511	1666	415	4968	5988
0x1E	0x078000	16384	e1f1c0814b8ba0002904b6c06f0a50abb44d06d7	7.351	841	304	5136	7029
0x1F	0x07C000	16384	4eb05d2cbf0e4e01a0496508c498da6807630c28	7.111	1160	232	6509	5775
0x20	0x080000	16384	5acd3303ebfee07e051e52291afb8aa6b26f91a1	6.483	1121	190	5464	5583
0x21	0x084000	16384	eda596664445da05031de2b9617d12625d8aa837	6.396	1679	174	5207	4859
0x22	0x088000	16384	63cd3b6a32eff913ef108459edf07dbe5cfd7f22	6.099	3117	164	4726	4657
0x23	0x08C000	16384	9392a251176a838d614a96ccec3c2bc1da538483	5.226	384	141	5539	3632
0x24	0x090000	16384	1e60523f1429d053576e9c82ea1e042cfc87843f	6.696	1155	124	5458	5400
0x25	0x094000	16384	0cfa2f3398f999af6fb8cd9f3be99b2d56197c63	5.805	3488	141	5145	5137
0x26	0x098000	16384	a2a8d251c6ef8da46f1d5c8cbd5f36524f70972c	5.931	2823	33	5536	5620
0x27	0x09C000	16384	f3ff03ded052b95a9107ce3e7afaf94f984dcb34	6.596	1759	227	5292	5619
0x28	0x0A0000	16384	4ac2b6c6d1748686ffb662156e866b6352adcd08	6.533	1479	83	5420	4638
0x29	0x0A4000	16384	5e791c4aae7242a4c17bdea60972650c2c201ecb	6.313	1527	210	5811	5842
