offset	bank	bank_offset	address	length	value
0x0001BA	0x00	0x01BA	0x01BA	38	0x00
0x00029E	0x00	0x029E	0x029E	95	0x00
0x00048F	0x00	0x048F	0x048F	113	0x00
0x000D3A	0x00	0x0D3A	0x0D3A	198	0x00
0x0038B2	0x00	0x38B2	0x38B2	32	0x00
0x003D9C	0x00	0x3D9C	0x3D9C	484	0x00
0x003F96	0x00	0x3F96	0x3F96	74	0x00
0x004B00	0x01	0x0B00	0x4B00	40	0x00
0x004E52	0x01	0x0E52	0x4E52	1296	0x00
0x0053B2	0x01	0x13B2	0x53B2	3440	0x00
0x006818	0x01	0x2818	0x6818	57	0x00
0x007FB7	0x01	0x3FB7	0x7FB7	73	0x00
0x00FDF3	0x03	0x3DF3	0x7DF3	525	0x00
0x013729	0x04	0x3729	0x7729	2263	0x00
0x017FE4	0x05	0x3FE4	0x7FE4	44	0x00
0x0183C0	0x06	0x03C0	0x43C0	32	0x00
0x018510	0x06	0x0510	0x4510	34	0x00
0x018DAF	0x06	0x0DAF	0x4DAF	81	0x00
0x019800	0x06	0x1800	0x5800	64	0x00
0x0198FF	0x06	0x18FF	0x58FF	65	0x00
0x019A00	0x06	0x1A00	0x5A00	64	0x00
0x019B00	0x06	0x1B00	0x5B00	64	0x00
0x019C00	0x06	0x1C00	0x5C00	32	0x00
0x019D00	0x06	0x1D00	0x5D00	32	0x00
0x01B600	0x06	0x3600	0x7600	32	0x00
0x01B700	0x06	0x3700	0x7700	32	0x00
0x01BC60	0x06	0x3C60	0x7C60	32	0x00
0x01BD60	0x06	0x3D60	0x7D60	32	0x00
0x01BFCF	0x06	0x3FCF	0x7FCF	50	0x00
0x01FB93	0x07	0x3B93	0x7B93	1133	0x00
0x023C36	0x08	0x3C36	0x7C36	970	0x00
0x027784	0x09	0x3784	0x7784	2173	0x00
0x02BF6D	0x0A	0x3F6D	0x7F6D	147	0x00
0x02FC26	0x0B	0x3C26	0x7C26	986	0x00
0x033F6A	0x0C	0x3F6A	0x7F6A	154	0x00
0x037ECC	0x0D	0x3ECC	0x7ECC	308	0x00
0x047E99	0x11	0x3E99	0x7E99	359	0x00
0x04BC2F	0x12	0x3C2F	0x7C2F	977	0x00
0x04FF7B	0x13	0x3F7B	0x7F7B	133	0x00
0x053BAA	0x14	0x3BAA	0x7BAA	1110	0x00
0x057F3A	0x15	0x3F3A	0x7F3A	210	0x00
0x0581C0	0x16	0x01C0	0x41C0	48	0x00
0x058470	0x16	0x0470	0x4470	32	0x00
0x0584F0	0x16	0x04F0	0x44F0	32	0x00
0x058570	0x16	0x0570	0x4570	32	0x00
0x0585F0	0x16	0x05F0	0x45F0	32	0x00
0x058670	0x16	0x0670	0x4670	416	0x00
0x05886F	0x16	0x086F	0x486F	37	0x00
0x0588F0	0x16	0x08F0	0x48F0	32	0x00
0x058970	0x16	0x0970	0x4970	32	0x00
0x0589F0	0x16	0x09F0	0x49F0	32	0x00
0x058A6F	0x16	0x0A6F	0x4A6F	401	0x00
0x05BE5F	0x16	0x3E5F	0x7E5F	417	0x00
0x05F5F9	0x17	0x35F9	0x75F9	34	0x00
0x05F671	0x17	0x3671	0x7671	44	0x00
0x05F6B7	0x17	0x36B7	0x76B7	44	0x00
0x05F6FB	0x17	0x36FB	0x76FB	40	0x00
0x05F73B	0x17	0x373B	0x773B	32	0x00
0x05F8B7	0x17	0x38B7	0x78B7	38	0x00
0x05F9BB	0x17	0x39BB	0x79BB	40	0x00
0x05FB05	0x17	0x3B05	0x7B05	1275	0x00
0x063F04	0x18	0x3F04	0x7F04	252	0x00
0x06705C	0x19	0x305C	0x705C	295	0x00
0x067A04	0x19	0x3A04	0x7A04	1532	0x00
0x06BDDA	0x1A	0x3DDA	0x7DDA	550	0x00
0x06FB50	0x1B	0x3B50	0x7B50	1200	0x00
0x0712A2	0x1C	0x12A2	0x52A2	54	0x00
0x073F5A	0x1C	0x3F5A	0x7F5A	166	0xFF
0x075245	0x1D	0x1245	0x5245	93	0x00
0x0752D8	0x1D	0x12D8	0x52D8	81	0x00
0x077F5A	0x1D	0x3F5A	0x7F5A	166	0xFF
0x07FEE0	0x1F	0x3EE0	0x7EE0	43	0x00
0x083F34	0x20	0x3F34	0x7F34	204	0x00
0x087F0B	0x21	0x3F0B	0x7F0B	245	0x00
0x08B985	0x22	0x3985	0x7985	1659	0x00
0x08FFCF	0x23	0x3FCF	0x7FCF	49	0x00
0x09741D	0x25	0x341D	0x741D	3043	0x00
0x09B6A5	0x26	0x36A5	0x76A5	2395	0x00
0x09FD12	0x27	0x3D12	0x7D12	750	0x00
0x0A7BE6	0x29	0x3BE6	0x7BE6	1050	0x00
0x0ABF9C	0x2A	0x3F9C	0x7F9C	100	0x00
0x0AF509	0x2B	0x3509	0x7509	2807	0x00
0x0B3E54	0x2C	0x3E54	0x7E54	428	0x00
0x0B7DB5	0x2D	0x3DB5	0x7DB5	587	0x00
0x0BB87F	0x2E	0x387F	0x787F	1921	0x00
0x0BE1A6	0x2F	0x21A6	0x61A6	36	0x00
0x0BF78B	0x2F	0x378B	0x778B	2165	0x00
0x0C3F00	0x30	0x3F00	0x7F00	260	0x00
0x0C7CA3	0x31	0x3CA3	0x7CA3	861	0x00
0x0CBB24	0x32	0x3B24	0x7B24	1244	0x00
0x0CF207	0x33	0x3207	0x7207	3577	0x00
0x0D3EF4	0x34	0x3EF4	0x7EF4	268	0x00
0x0D7A7E	0x35	0x3A7E	0x7A7E	1432	0x00
0x0D884C	0x36	0x084C	0x484C	165	0x00
0x0D89E6	0x36	0x09E6	0x49E6	163	0x00
0x0D8A9A	0x36	0x0A9A	0x4A9A	183	0x00
0x0DBC31	0x36	0x3C31	0x7C31	975	0x00
0x0DED87	0x37	0x2D87	0x6D87	4745	0x00
0x0E05B0	0x38	0x05B0	0x45B0	274	0xFF
0x0E37DD	0x38	0x37DD	0x77DD	2099	0x00
0x0E4DB0	0x39	0x0DB0	0x4DB0	80	0xFF
0x0E5800	0x39	0x1800	0x5800	64	0xFF
0x0E5900	0x39	0x1900	0x5900	64	0xFF
0x0E5A00	0x39	0x1A00	0x5A00	64	0xFF
0x0E5AFE	0x39	0x1AFE	0x5AFE	67	0xFF
0x0E5C00	0x39	0x1C00	0x5C00	32	0xFF
0x0E5D00	0x39	0x1D00	0x5D00	32	0xFF
0x0E7C60	0x39	0x3C60	0x7C60	32	0xFF
0x0E7D60	0x39	0x3D60	0x7D60	32	0xFF
0x0E7FD0	0x39	0x3FD0	0x7FD0	48	0xFF
0x0EBE8E	0x3A	0x3E8E	0x7E8E	370	0x00
0x0EFF72	0x3B	0x3F72	0x7F72	142	0x00
0x0F3ED3	0x3C	0x3ED3	0x7ED3	301	0x00
0x0F7E9E	0x3D	0x3E9E	0x7E9E	354	0x00
