token	bits	bit_length
0xDE	000	3
0x20	1010	4
0xCE	00100	5
0xC9	00101	5
0xB8	00110	5
0xC4	01001	5
0xBC	01010	5
0xB3	01100	5
0xC3	01101	5
0x0A	10001	5
0xC0	10011	5
0xDD	10111	5
0x28	11001	5
0x29	11010	5
0xB6	11100	5
0xB2	11111	5
0xC2	001110	6
0xAF	010000	6
0xA6	010001	6
0xD7	010110	6
0xC6	011100	6
0xBA	011101	6
0xBD	011111	6
0x00	100000	6
0xDF	100001	6
0xC5	100100	6
0xB7	110000	6
0xD9	111010	6
0xCA	111100	6
0xDC	0011110	7
0xB1	0101111	7
0xCB	0111100	7
0xBE	0111101	7
0xC1	1001011	7
0xB5	1011000	7
0xB9	1011001	7
0xDA	1011010	7
0xAE	1100010	7
0xB0	1101100	7
0xCC	1101101	7
0xD8	1101110	7
0xBB	1101111	7
0xCF	1110110	7
0xD3	1111010	7
0xDB	1111011	7
0xC8	00111110	8
0xCD	01011100	8
0xAD	01011101	8
0xB4	10010101	8
0xBF	10110111	8
0xD6	11000110	8
0xD4	11000111	8
0xD0	11101110	8
0xD2	11101111	8
0x30	001111111	9
0xD1	100101001	9
0xAC	101101101	9
0x31	0011111100	10
0x32	1001010000	10
0xD5	1011011001	10
0xA8	00111111010	11
0x35	10010100010	11
0x33	001111110111	12
0xAA	100101000110	12
0x21	100101000111	12
0x34	101101100000	12
0xA7	101101100001	12
0x36	0011111101100	13
0x38	0011111101101	13
0x37	1011011000100	13
0x39	1011011000101	13
0x3F	1011011000110	13
0xC7	1011011000111	13
