token	bits	bit_length
0x0A	0100	4
0xDE	1100	4
0x20	1110	4
0xB3	00001	5
0xC4	00110	5
0xBC	01011	5
0xC3	01100	5
0xDD	10000	5
0xC0	10011	5
0xB6	10101	5
0x28	10110	5
0x29	10111	5
0xB2	11110	5
0xD7	000001	6
0xCF	000100	6
0xB5	000101	6
0xB1	000111	6
0xD3	001000	6
0xBD	001010	6
0xB7	001011	6
0x23	010100	6
0xC6	010101	6
0xB0	011100	6
0x00	011101	6
0xB8	011110	6
0xD9	100010	6
0xBA	100100	6
0x21	101001	6
0xAF	110101	6
0xC9	110111	6
0xCA	111110	6
0xC5	111111	6
0x3F	0000000	7
0xC8	0000001	7
0xCC	0001100	7
0xB4	0001101	7
0xCB	0010010	7
0xD4	0010011	7
0xAC	0011100	7
0xD0	0011101	7
0xAE	0011111	7
0xA6	0110100	7
0xDF	0110101	7
0xBE	0110111	7
0xDC	0111110	7
0xD8	0111111	7
0xBB	1000110	7
0xB9	1000111	7
0xC2	1001010	7
0xBF	1001011	7
0xDB	1010000	7
0xC1	1010001	7
0xD6	1101000	7
0xDA	1101100	7
0xCE	1101101	7
0xCD	00111101	8
0xD2	01101100	8
0xA7	001111000	9
0x01	011011010	9
0xAD	110100100	9
0xD1	110100110	9
0xAA	0110110111	10
0x31	1101001110	10
0xD5	1101001111	10
0x37	00111100100	11
0x35	00111100101	11
0xA8	00111100110	11
0x38	01101101100	11
0x34	01101101101	11
0x30	11010010100	11
0x33	11010010101	11
0x32	11010010111	11
0xAB	001111001111	12
0x36	110100101100	12
0xC7	110100101101	12
0x39	0011110011100	13
0xA9	0011110011101	13
