offset	bank	tiles	nonzero_bytes	unique_bytes
0x000040	0x00	24	323	135
0x0002F0	0x00	26	376	98
0x000500	0x00	132	1987	204
0x000E00	0x00	684	10507	255
0x0038D0	0x00	77	1093	201
0x004000	0x01	161	2239	148
0x004B20	0x01	52	523	98
0x006120	0x01	109	1716	188
0x006850	0x01	375	5748	242
0x008000	0x02	1023	15705	254
0x00C000	0x03	992	14893	254
0x010000	0x04	883	13082	251
0x014000	0x05	1023	15422	255
0x018110	0x06	30	369	148
0x018410	0x06	16	215	72
0x018530	0x06	104	1541	187
0x018BC0	0x06	31	451	123
0x018E00	0x06	160	2264	235
0x019D20	0x06	127	1871	221
0x01A520	0x06	249	3768	252
0x01B4C0	0x06	20	297	81
0x01B720	0x06	24	353	60
0x01B8B0	0x06	59	830	138
0x01BD80	0x06	37	521	125
0x01C000	0x07	954	14146	256
0x020000	0x08	964	14334	256
0x024000	0x09	889	13364	253
0x028000	0x0A	1015	15641	256
0x02C000	0x0B	963	14951	256
0x030000	0x0C	1015	15223	255
0x034000	0x0D	1005	15808	256
0x038000	0x0E	4074	65043	256
0x048000	0x12	963	15388	256
0x04C000	0x13	1016	15421	256
0x050000	0x14	955	14384	254
0x054000	0x15	1012	14893	256
0x058000	0x16	16	214	58
0x058290	0x16	23	329	70
0x058C00	0x16	806	12004	251
0x05C000	0x17	864	12615	252
0x05F750	0x17	23	234	95
0x060000	0x18	683	10370	253
0x062AC0	0x18	325	3823	223
0x064000	0x19	774	10331	256
0x067180	0x19	137	2063	146
0x068000	0x1A	990	14734	253
0x06C000	0x1B	949	14221	253
0x070000	0x1C	238	3698	239
0x070EF0	0x1C	42	485	82
0x0712D0	0x1C	713	10957	218
0x074000	0x1D	238	3698	239
0x074EF0	0x1D	42	485	82
0x075320	0x1D	708	10162	250
0x078000	0x1E	441	6592	256
0x079BA0	0x1E	19	302	131
0x079D30	0x1E	823	12718	256
0x07D110	0x1F	733	10728	254
0x07FF00	0x1F	395	6007	229
0x0817C0	0x20	632	9459	251
0x084000	0x21	520	7727	244
0x086090	0x21	97	1359	156
0x0866B0	0x21	186	2738	184
0x087260	0x21	47	634	117
0x087560	0x21	111	1641	167
0x087C60	0x21	43	606	109
0x088000	0x22	284	4385	207
0x0891D0	0x22	182	2694	194
0x089D40	0x22	38	505	116
0x089FB0	0x22	16	208	70
0x08A0C0	0x22	32	441	102
0x08A2D0	0x22	16	208	69
0x08A3E0	0x22	179	2495	196
0x08AF20	0x22	41	568	108
0x08B1C0	0x22	117	1667	163
0x08C000	0x23	1021	16000	240
0x090000	0x24	739	10954	245
0x092E40	0x24	283	4275	253
0x094000	0x25	834	12896	250
0x098000	0x26	875	13561	246
0x09C000	0x27	583	8804	251
0x09E500	0x27	386	5788	241
0x0A0000	0x28	401	6144	233
0x0A1A00	0x28	607	8578	237
0x0A4000	0x29	959	14857	251
0x0A8000	0x2A	1018	15216	252
0x0AC000	0x2B	849	13002	245
0x0B0000	0x2C	998	15386	256
0x0B4000	0x2D	988	15091	254
0x0B8000	0x2E	876	13256	251
0x0BB6D0	0x2E	27	362	91
0x0BC060	0x2F	533	8181	239
0x0BE1C0	0x2F	349	5122	234
0x0C0000	0x30	1008	15316	238
0x0C4000	0x31	825	12804	256
0x0C73E0	0x31	141	2073	194
0x0C8000	0x32	414	6278	232
0x0C99F0	0x32	88	1170	156
0x0C9F80	0x32	75	1037	141
0x0CA440	0x32	26	336	84
0x0CA5F0	0x32	62	852	144
0x0CA9E0	0x32	17	241	73
0x0CAB00	0x32	38	537	98
0x0CAD70	0x32	53	744	128
0x0CB0D0	0x32	65	914	131
0x0CB4F0	0x32	70	997	130
0x0CB960	0x32	29	406	105
0x0CC000	0x33	801	11777	246
0x0D0000	0x34	1008	15204	247
0x0D4000	0x35	936	13660	227
0x0D8010	0x36	132	1592	178
0x0D88F0	0x36	16	174	33
0x0D8B50	0x36	64	967	8
0x0D8F60	0x36	217	2781	213
0x0D9D00	0x36	434	6702	248
0x0DB8D0	0x36	18	240	71
0x0DBA00	0x36	36	534	94
0x0DC000	0x37	729	11454	249
0x0E0010	0x38	25	323	67
0x0E0200	0x38	34	380	97
0x0E0430	0x38	24	255	95
0x0E06C0	0x38	46	726	100
0x0E09B0	0x38	137	1923	229
0x0E1250	0x38	247	3613	239
0x0E21D0	0x38	353	5142	232
0x0E4110	0x39	30	428	162
0x0E43E0	0x39	125	1829	205
0x0E4BC0	0x39	21	308	108
0x0E4E00	0x39	160	2293	240
0x0E5D20	0x39	127	1891	229
0x0E6520	0x39	249	3750	251
0x0E74C0	0x39	44	642	103
0x0E7790	0x39	17	249	56
0x0E78B0	0x39	59	813	132
0x0E7D80	0x39	37	523	124
0x0E8000	0x3A	1001	15566	256
0x0EC000	0x3B	1016	15801	256
0x0F0000	0x3C	1006	15607	256
0x0F4000	0x3D	1002	15574	256
0x0F8000	0x3E	942	14382	256
0x0FC000	0x3F	81	1197	184
0x0FC580	0x3F	486	7317	250
0x0FE430	0x3F	149	1712	144
0x0FEE70	0x3F	229	2537	220
