stream	index	pointer_word	pointer_kind	offset	bit_offset	tree	bits	bytes	ended	score	text	raw_tokens
dialogue	0	0x0FA0	byte14	0x038FA0	0	0x0016DA	110	14	True	26.32	\n     これは タﾞミーてﾞす	0A 20 20 20 20 20 28 BA DA CA 20 29 C0 DE D0 B0 28 C3 DE BD 29 00
dialogue	1	0x0FA0	byte14	0x038FA0	0	0x0016DA	110	14	True	26.32	\n     これは タﾞミーてﾞす	0A 20 20 20 20 20 28 BA DA CA 20 29 C0 DE D0 B0 28 C3 DE BD 29 00
dialogue	2	0x0FAE	byte14	0x038FAE	0	0x0016DA	116	15	True	30.72	いったい なんの さわきﾞたﾞ???	28 B2 AF C0 B2 20 C5 DD C9 20 BB DC B7 DE C0 DE 3F 3F 3F 29 00
dialogue	3	0x0FBD	byte14	0x038FBD	0	0x0016DA	88	11	True	22.92	とﾞうなってるんたﾞ???	28 C4 DE B3 C5 AF C3 D9 DD C0 DE 3F 3F 3F 29 00
dialogue	4	0x0FC8	byte14	0x038FC8	0	0x0016DA	230	29	True	78.18	まま\nまた おしﾞいちゃんの しわさﾞね\nほんとに とﾞうしようもないんたﾞから	CF CF 0A 28 CF C0 20 B5 BC DE B2 C1 AC DD C9 20 BC DC BB DE C8 0A CE DD C4 C6 20 C4 DE B3 BC D6 B3 D3 C5 B2 DD C0 DE B6 D7 29 00
dialogue	5	0x0FE5	byte14	0x038FE5	0	0x0016DA	566	71	True	181.28	はﾟはﾟ\nすまんかﾞ きゅうな しゅっちょうてﾞ\nしはﾞらく いえに かえってこれない\nいいか ハﾟハﾟかﾞ かえってくるまてﾞ\nおとなしく いいコに してるんたﾞそﾞ\nそれしﾞゃ いってくるよ	CA DF CA DF 0A 28 BD CF DD B6 DE 20 B7 AD B3 C5 20 BC AD AF C1 AE B3 C3 DE 0A BC CA DE D7 B8 20 B2 B4 C6 20 B6 B4 AF C3 BA DA C5 B2 0A B2 B2 B6 20 29 CA DF CA DF 28 B6 DE 20 B6 B4 AF C3 B8 D9 CF C3 DE 0A B5 C4 C5 BC B8 20 B2 B2 29 BA 28 C6 20 BC C3 D9 DD C0 DE BF DE 0A BF DA BC DE AC 20 B2 AF C3 B8 D9 D6 29 00
dialogue	6	0x102C	byte14	0x03902C	0	0x0016DA	690	87	True	219.1	まま\nこﾞめんなさいね これから\nかあさんも てﾞかけるのよ##\nちょっと とおくの テﾞハﾟートてﾞ\nハﾞーケﾞンセールかﾞ あってね\nかえりは おそくなると おもうの\nおるすはﾞん まかせたわよ\nおしﾞいちゃんと なかよく やってね	CF CF 0A 28 BA DE D2 DD C5 BB B2 C8 20 BA DA B6 D7 0A B6 B1 BB DD D3 20 C3 DE B6 B9 D9 C9 D6 23 23 0A C1 AE AF C4 20 C4 B5 B8 C9 20 29 C3 DE CA DF B0 C4 28 C3 DE 0A 29 CA DE B0 B9 DE DD BE B0 D9 28 B6 DE 20 B1 AF C3 C8 0A B6 B4 D8 CA 20 B5 BF B8 C5 D9 C4 20 B5 D3 B3 C9 0A B5 D9 BD CA DE DD 20 CF B6 BE C0 DC D6 0A B5 BC DE B2 C1 AC DD C4 20 C5 B6 D6 B8 20 D4 AF C3 C8 29 00
dialogue	7	0x1083	byte14	0x039083	0	0x0016DA	380	48	True	121.3	まま\nおしﾞいちゃんには すくﾞに かえる\nって いっておいてね\nしんはﾟいすると いけないから##\nそれしﾞゃあ いってくるわね!	CF CF 0A 28 B5 BC DE B2 C1 AC DD C6 CA 20 BD B8 DE C6 20 B6 B4 D9 0A AF C3 20 B2 AF C3 B5 B2 C3 C8 0A BC DD CA DF B2 BD D9 C4 20 B2 B9 C5 B2 B6 D7 23 23 0A BF DA BC DE AC B1 20 B2 AF C3 B8 D9 DC C8 21 29 00
dialogue	8	0x10B3	byte14	0x0390B3	0	0x0016DA	225	29	True	71.6	すほﾟろしﾞい\nおーい たﾞれか おらんのかー\nちょっと てつたﾞってくれー	BD CE DF DB 28 BC DE B2 0A B5 B0 B2 20 C0 DE DA B6 20 B5 D7 DD C9 B6 B0 0A C1 AE AF C4 20 C3 C2 C0 DE AF C3 B8 DA B0 29 00
dialogue	9	0x10D0	byte14	0x0390D0	0	0x0016DA	175	22	True	56.14	しﾞいちゃんかﾞ うらにわ から\nよんてﾞいるみたいたﾞ##	28 BC DE B2 C1 AC DD B6 DE 20 B3 D7 C6 DC 20 B6 D7 0A D6 DD C3 DE B2 D9 D0 C0 B2 C0 DE 23 23 29 00
dialogue	10	0x10E6	byte14	0x0390E6	0	0x0016DA	396	50	True	120.04	すほﾟろしﾞい\nあわわわ## しんかﾞた ロホﾞホﾟンの\nしﾞっけん またしても しっはﾟいか#\nなんとﾞ やっても うまくいかんのう#	BD CE DF DB 28 BC DE B2 0A B1 DC DC DC 23 23 20 BC DD B6 DE C0 20 29 DB CE DE CE DF DD 28 C9 0A BC DE AF B9 DD 20 CF C0 BC C3 D3 20 BC AF CA DF B2 B6 23 0A C5 DD C4 DE 20 D4 AF C3 D3 20 B3 CF B8 B2 B6 DD C9 B3 23 29 00
